preprocessedSmiles;Molecule ChEMBL ID;y_true_label
CCCCc1nc2[nH]cnc2c2nc(-c3cccnc3)nn12;CHEMBL123195;1
Cc1[nH]c2nc(-c3ccccc3)nc(NCc3ccncc3)c2c1C;CHEMBL81863;0
CSc1c2c(nc(NC(=O)Cc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)nn1C;CHEMBL21572;1
CCc1nc(C(=O)c2ccc(C)s2)c2sccc2n1;CHEMBL1077750;0
Cc1ccc(C(=O)c2nc(NC(=O)c3cccnc3)nc3ccsc23)s1;CHEMBL1078001;1
Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1;CHEMBL1078085;1
O=C(c1cncs1)c1nc(NCc2cccnc2)nc2ccsc12;CHEMBL1079044;0
CN(Cc1ccccc1)C(=O)c1cccc(Nc2cc(-c3ccccc3)ncn2)c1;CHEMBL5207175;0
Nc1nc(C(=O)NCc2ccncc2)cn2c1nc1ccccc12;CHEMBL5174275;0
c1ccc(-c2nc3c4[nH]cnc4nc(-c4ccccc4)n3n2)cc1;CHEMBL330982;1
CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O;CHEMBL331372;1
Cc1cnn(C2CC(n3cnc4c(N)nc(NC(CO)Cc5ccccc5)nc43)C(O)C2O)c1;CHEMBL592246;1
CC(=O)NCCNc1nc(-c2ccccc2)nc2[nH]c(C)c(C)c12;CHEMBL81616;1
Nc1nc2c(cnn2Cc2ccc(OCc3ccccc3)cc2)c2nc(-c3ccco3)nn12;CHEMBL66811;1
Cc1[nH]c2nc(-c3ccccc3)nc(NC(C)c3ccccc3)c2c1C;CHEMBL81336;0
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O;CHEMBL183;1
Nc1nc2c(cnn2CCCc2ccc(O)cc2)c2nc(-c3ccco3)nn12;CHEMBL67026;1
CCCCc1nc2[nH]cnc2c2nc(Cc3ccccc3)nn12;CHEMBL122928;1
